"","Employee","salaries_17","salaries_18","change","got_raise"
"27","Employee 27",43597.2969350405,53042.9641483352,9445.66721329466,TRUE
"28","Employee 28",42379.5024608262,48003.3356812783,5623.83322045207,TRUE
"29","Employee 29",41644.2587645724,37347.2594644409,-4296.99930013157,FALSE
"30","Employee 30",43758.5867149755,51697.6377414539,7939.05102647841,TRUE
"31","Employee 31",41053.8886697032,43829.4784969185,2775.5898272153,TRUE
"32","Employee 32",43430.7114291005,52332.1462515742,8901.43482247368,TRUE
"33","Employee 33",45741.9597380795,53298.6683549825,7556.70861690305,TRUE
"34","Employee 34",40941.1046886817,41494.0586546436,552.953965961933,TRUE
"35","Employee 35",43915.6485558487,46348.7396400888,2433.09108424,TRUE
"36","Employee 36",45325.0204282813,51494.639335433,6169.61890715174,TRUE
"37","Employee 37",45483.2220450044,54283.1263015978,8799.90425659344,TRUE
"38","Employee 38",48548.0513656512,50983.1586747896,2435.1073091384,TRUE
"39","Employee 39",41943.0098636076,43846.9297194388,1903.91985583119,TRUE
"40","Employee 40",45205.2154112607,45788.5137910489,583.298379788175,TRUE
"41","Employee 41",43252.1001831628,38523.4354471322,-4728.66473603062,FALSE
"42","Employee 42",49037.4873462133,45449.9370872509,-3587.55025896244,FALSE
"43","Employee 43",47856.1875456944,52525.2770609222,4669.08951522782,TRUE
"44","Employee 44",45491.9253173284,48535.3043116629,3043.37899433449,TRUE
"45","Employee 45",49308.4975611418,57034.710109001,7726.21254785918,TRUE
"46","Employee 46",42565.8824667335,51258.1340118777,8692.25154514425,TRUE
"47","Employee 47",47724.7993112542,53680.1935895346,5955.39427828044,TRUE
"48","Employee 48",43671.0246349685,47211.9541733991,3540.92953843065,TRUE
"49","Employee 49",40372.3611822352,40458.9631373528,86.6019551176578,TRUE
"50","Employee 50",45137.8796831705,42869.1078769043,-2268.77180626616,FALSE
"51","Employee 51",45505.1822145469,41242.8590888157,-4262.3231257312,FALSE
"52","Employee 52",41062.1752776206,40172.0833627041,-890.091914916411,FALSE
"53","Employee 53",46936.3380689174,47044.8620291427,108.523960225284,TRUE
"54","Employee 54",40863.9876497909,49911.9379022159,9047.95025242493,TRUE
"55","Employee 55",44082.6602489688,53961.4610688295,9878.80081986077,TRUE
"56","Employee 56",41524.1399337538,43420.7747736946,1896.63483994082,TRUE
"57","Employee 57",44096.0029792041,48712.6221961807,4616.61921697669,TRUE
"58","Employee 58",42962.2074146755,45163.2886764128,2201.08126173727,TRUE
"59","Employee 59",40478.2851366326,47943.0377902463,7464.75265361369,TRUE
"60","Employee 60",48092.8634339944,43240.4227531515,-4852.44068084285,FALSE
"61","Employee 61",46061.5267045796,54966.5337055922,8905.00700101256,TRUE
"62","Employee 62",40766.9586222619,49201.0368942283,8434.07827196643,TRUE
"63","Employee 63",41825.7953063585,43288.2887206506,1462.49341429211,TRUE
"64","Employee 64",41209.4389251433,46741.0907545127,5531.65182936937,TRUE
"65","Employee 65",49444.2857452668,58528.3945046831,9084.10875941627,TRUE
"66","Employee 66",48204.3913984671,51678.4770681988,3474.08566973172,TRUE
"67","Employee 67",47458.2511465997,52495.6634582486,5037.41231164895,TRUE
"68","Employee 68",48519.1354621202,57281.0034034774,8761.8679413572,TRUE
"69","Employee 69",40302.9900626279,41768.1222327519,1465.13217012398,TRUE
"70","Employee 70",40004.1434215382,42419.113466749,2414.97004521079,TRUE
"71","Employee 71",44763.8694755733,47218.0942748673,2454.22479929402,TRUE
"72","Employee 72",46041.0581761971,52841.7235834058,6800.66540720873,TRUE
"73","Employee 73",46994.6109200828,52854.7998855356,5860.18896545283,TRUE
"74","Employee 74",49278.9356899448,54969.9443357531,5691.00864580832,TRUE
"75","Employee 75",41665.5347007327,44241.3669102825,2575.83220954984,TRUE
"76","Employee 76",48030.5524566211,49484.8432845902,1454.29082796909,TRUE
"77","Employee 77",45811.5216996521,52275.2231720369,6463.70147238486,TRUE
"78","Employee 78",42426.2453266419,42032.3520596139,-393.893267028034,FALSE
"79","Employee 79",40686.3822974265,45674.0571046248,4987.67480719835,TRUE
"80","Employee 80",41146.8465067446,45259.1861668043,4112.33966005966,TRUE
"81","Employee 81",42308.728354983,46143.6460085679,3834.91765358485,TRUE
"82","Employee 82",43971.8128903769,43298.9160635043,-672.896826872602,FALSE
"83","Employee 83",44879.0470254607,47973.9916801918,3094.94465473108,TRUE
"84","Employee 84",40056.6251762211,40201.7889602575,145.163784036413,TRUE
"85","Employee 85",44393.7314115465,40174.7590873856,-4218.97232416086,FALSE
"86","Employee 86",43704.623139929,49710.5800092686,6005.95686933957,TRUE
"87","Employee 87",42680.1667106338,40113.634087611,-2566.53262302279,FALSE
"88","Employee 88",44908.2338553853,47170.7025065552,2262.46865116991,TRUE
"89","Employee 89",40826.5633205883,46792.3667561263,5965.80343553796,TRUE
"90","Employee 90",48588.7707443908,57806.487508351,9217.7167639602,TRUE
"91","Employee 91",46134.4625288621,50456.1150225345,4321.65249367245,TRUE
"92","Employee 92",41509.3322610483,46318.1704399176,4808.83817886934,TRUE
"93","Employee 93",40891.3529035635,36457.4993960559,-4433.85350750759,FALSE
"94","Employee 94",42855.2522393875,43507.3278157506,652.075576363131,TRUE
"95","Employee 95",43274.7896946967,42592.5724743865,-682.217220310122,FALSE
"96","Employee 96",45109.2526712455,50664.9095169269,5555.65684568137,TRUE
"97","Employee 97",44584.2268480919,49754.0523030329,5169.82545494102,TRUE
"98","Employee 98",48980.6782593951,47146.2125866674,-1834.46567272767,FALSE
"99","Employee 99",40439.6611894481,47727.9330289457,7288.27183949761,TRUE
"100","Employee 100",49690.6574326567,51954.0314585902,2263.37402593344,TRUE
